R00330,C00035,C00044,-2.5,#
R00331,C00002,C00008,?
R00331,C00201,C00454,?
R00332,C00002,C00008,-3.4,#
R00332,C00035,C00144,3.4,#
R00333,C00008,C00020,?
R00333,C00201,C00454,?
R00334,C00002,C00008,?
R00334,C00454,C01329,?
R00335,C00035,C00044,23.9,#
R00336,C00035,C01228,83.08,*
R00337,C00035,C00394,26.9,#
R00337,C00031,C00394,26.9,#
R00338,C00033,C00036,51.1,#
R00338,C00036,C00209,-51.1,#
R00339,C00036,C00898,35.3,#
R00340,C00036,C02107,35.3,#
R00341,C00002,C00008,10.3,#
R00341,C00036,C00074,10.3,#
R00342,C00036,C00149,-30.3,#
R00343,C00036,C00149,-31.3,#
R00344,C00022,C00036,-4.2,#
R00344,C00036,C00288,4.2,#
R00345,C00036,C00074,36.7,#
R00346,C00036,C00074,21.0,#
R00347,C00036,C03961,26.6,#
R00348,C00036,C02362,6.9,#
R00350,C00022,C04115,-18.8,#
R00350,C00036,C04115,-18.8,#
R00351,C00010,C00024,34.6,#
R00351,C00036,C00158,-34.6,#
R00352,C00010,C00024,8.2,#
R00352,C00036,C00158,-8.2,#
R00353,C00022,C00036,-0.5,#
R00353,C00024,C00083,0.5,#
R00354,C00024,C00566,-15.4,#
R00354,C00036,C00566,-15.4,#
R00355,C00025,C00026,-2.9,#
R00355,C00036,C00049,-2.9,#
R00357,C00036,C00049,92.6,#
R00359,C00036,C00402,97.5,#
R00360,C00036,C00149,103.1,#
R00361,C00036,C00149,?
R00362,C00036,C00158,-4.6,#
R00362,C00033,C00158,-4.6,#
R00363,C00036,C03981,5.7,#
R00364,C00037,C00048,62.48,*
R00365,C00037,C00048,46.0,#
R00366,C00037,C00048,-87.4,#
R00367,C00019,C00021,64.97,*
R00367,C00037,C00213,64.97,*
R00368,C00037,C03790,-31.9,#
R00368,C00022,C03790,-31.9,#
R00369,C00022,C00041,8.3,#
R00369,C00037,C00048,8.3,#
R00371,C00010,C00024,-38.5,#
R00371,C00037,C03508,38.5,#
R00372,C00025,C00026,-8.0,#
R00372,C00037,C00048,8.0,#
R00373,C00037,C00048,5.2,#
R00373,C00036,C00049,5.2,#
R00374,C00037,C00177,?
R00375,C00039,C00131,187.1,#
R00376,C00039,C00286,?
R00377,C00039,C00458,511.2,#
